com.samsung.shealth.tracker.pedometer_day_summary,6320001,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,3793,7a97e218-47f2-4975-a053-88621147830d.binning_data.json,2295687,6000,,8,2019-05-21 03:48:40.432,com.sec.android.app.shealth,2019-05-20 10:45:23.375,7a97e218-47f2-4975-a053-88621147830d.source_info.json,1.2465851,2861.77,148.73,3785,VfS0qUERdZ,com.sec.android.app.shealth,0,7a97e218-47f2-4975-a053-88621147830d.achievement.json,7a97e218-47f2-4975-a053-88621147830d,1558310400000,
,3793,bfbe2b44-4e54-4455-9ab0-8f64f78b4820.binning_data.json,2295638,6000,,8,2019-05-21 03:51:08.992,com.sec.android.app.shealth,2019-05-21 03:51:08.992,,3.520603,2861.77,148.73,3785,k9L5qUbt1q,com.sec.android.app.shealth,0,bfbe2b44-4e54-4455-9ab0-8f64f78b4820.achievement.json,bfbe2b44-4e54-4455-9ab0-8f64f78b4820,1558310400000,
,5378,621f06ca-06e3-49c1-8f30-ee910a5c1974.binning_data.json,3113457,6000,,0,2019-05-22 02:25:07.824,com.sec.android.app.shealth,2019-05-21 10:45:17.822,621f06ca-06e3-49c1-8f30-ee910a5c1974.source_info.json,1.2800945,3985.52,214.63998,5378,VfS0qUERdZ,com.sec.android.app.shealth,0,621f06ca-06e3-49c1-8f30-ee910a5c1974.achievement.json,621f06ca-06e3-49c1-8f30-ee910a5c1974,1558396800000,
,5378,6b04ba98-fe32-4944-8e87-620e278a46ef.binning_data.json,3113421,6000,,0,2019-05-22 04:00:00.368,com.sec.android.app.shealth,2019-05-22 04:00:00.368,,1.8055557,3985.52,214.63998,5378,k9L5qUbt1q,com.sec.android.app.shealth,1904,6b04ba98-fe32-4944-8e87-620e278a46ef.achievement.json,6b04ba98-fe32-4944-8e87-620e278a46ef,1558396800000,
,2918,730e2179-2996-4a09-9a3c-be4f437daa52.binning_data.json,1788412,6000,,0,2019-05-23 03:44:03.330,com.sec.android.app.shealth,2019-05-22 09:30:28.090,730e2179-2996-4a09-9a3c-be4f437daa52.source_info.json,1.2266409,2193.74,113.35999,2918,VfS0qUERdZ,com.sec.android.app.shealth,0,730e2179-2996-4a09-9a3c-be4f437daa52.achievement.json,730e2179-2996-4a09-9a3c-be4f437daa52,1558483200000,
,2918,f2b04543-06f1-4e5a-8bb3-dd3875fc5a93.binning_data.json,1788383,6000,,0,2019-05-23 04:00:00.481,com.sec.android.app.shealth,2019-05-23 04:00:00.481,,1.6666666,2193.74,113.35999,2918,k9L5qUbt1q,com.sec.android.app.shealth,0,f2b04543-06f1-4e5a-8bb3-dd3875fc5a93.achievement.json,f2b04543-06f1-4e5a-8bb3-dd3875fc5a93,1558483200000,
,3036,785e2bdd-cdd7-4e3a-8db0-e73bf887edc8.binning_data.json,1807430,6000,,0,2019-05-24 03:34:46.590,com.sec.android.app.shealth,2019-05-23 11:30:16.485,785e2bdd-cdd7-4e3a-8db0-e73bf887edc8.source_info.json,1.2810504,2315.41,124.06,3036,VfS0qUERdZ,com.sec.android.app.shealth,0,785e2bdd-cdd7-4e3a-8db0-e73bf887edc8.achievement.json,785e2bdd-cdd7-4e3a-8db0-e73bf887edc8,1558569600000,
,3036,797c19c0-5001-4100-8cee-3d6a4de29e4f.binning_data.json,1807399,6000,,0,2019-05-24 04:00:00.363,com.sec.android.app.shealth,2019-05-24 04:00:00.363,,2.1152391,2315.41,124.06,3036,k9L5qUbt1q,com.sec.android.app.shealth,1463,797c19c0-5001-4100-8cee-3d6a4de29e4f.achievement.json,797c19c0-5001-4100-8cee-3d6a4de29e4f,1558569600000,
,3207,c5a803f8-fdc2-4ce5-9988-870e3cd858ad.binning_data.json,1921597,6000,,0,2019-05-25 03:48:32.276,com.sec.android.app.shealth,2019-05-24 10:45:20.794,c5a803f8-fdc2-4ce5-9988-870e3cd858ad.source_info.json,1.2668889,2434.45,131.05,3207,VfS0qUERdZ,com.sec.android.app.shealth,0,c5a803f8-fdc2-4ce5-9988-870e3cd858ad.achievement.json,c5a803f8-fdc2-4ce5-9988-870e3cd858ad,1558656000000,
,3207,d3babd16-4afe-4227-bef3-05174018d2ad.binning_data.json,1921555,6000,,0,2019-05-25 04:00:00.640,com.sec.android.app.shealth,2019-05-25 04:00:00.640,,1.75,2434.45,131.05,3207,k9L5qUbt1q,com.sec.android.app.shealth,0,d3babd16-4afe-4227-bef3-05174018d2ad.achievement.json,d3babd16-4afe-4227-bef3-05174018d2ad,1558656000000,
